/var/spool/slurm/slurmd/job11400829/slurm_script: line 11: mmodule: command not found
Lmod has detected the following error: These module(s) or extension(s) exist
but cannot be loaded as requested: "Miniconda3/23.5.2-0"
   Try: "module spider Miniconda3/23.5.2-0" to see how to load the module(s).



wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Currently logged in as: xiaweijie1996 (weijie_xia) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.19.9
wandb: Run data is saved locally in /gpfs/home4/wxia/TransformerEM-GMM/wandb/run-20250426_200040-5m8cskpn
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run lucky-universe-12
wandb: ⭐️ View project at https://wandb.ai/weijie_xia/timesnet_mmd
wandb: 🚀 View run at https://wandb.ai/weijie_xia/timesnet_mmd/runs/5m8cskpn
3516776
shape of data:  (10000, 250, 97)
Epoch 1, Sub-Epoch 289, Loss: 0.03777885064482689
Epoch 1, Sub-Epoch 290, Loss: 0.03607790172100067
Epoch 1, Sub-Epoch 291, Loss: 0.039997562766075134
Epoch 1, Sub-Epoch 292, Loss: 0.03723655268549919
Epoch 1, Sub-Epoch 293, Loss: 0.03948063775897026
Epoch 1, Sub-Epoch 294, Loss: 0.03567671403288841
Epoch 1, Sub-Epoch 295, Loss: 0.03960287570953369
Epoch 1, Sub-Epoch 296, Loss: 0.03642163798213005
Epoch 1, Sub-Epoch 297, Loss: 0.03721873462200165
Epoch 1, Sub-Epoch 298, Loss: 0.036297574639320374
Epoch 1, Sub-Epoch 299, Loss: 0.039443403482437134
Epoch 1, Sub-Epoch 300, Loss: 0.03856373950839043
Epoch 1, Sub-Epoch 301, Loss: 0.03863433003425598
Epoch 1, Sub-Epoch 302, Loss: 0.039833322167396545
Epoch 1, Sub-Epoch 303, Loss: 0.0434020459651947
Epoch 1, Sub-Epoch 304, Loss: 0.03847968578338623
Epoch 1, Sub-Epoch 305, Loss: 0.03454381972551346
Epoch 1, Sub-Epoch 306, Loss: 0.04123001918196678
Epoch 1, Sub-Epoch 307, Loss: 0.046390313655138016
Epoch 1, Sub-Epoch 308, Loss: 0.04456913471221924
Epoch 1, Sub-Epoch 309, Loss: 0.039108067750930786
Epoch 1, Sub-Epoch 310, Loss: 0.03657769411802292
Epoch 1, Sub-Epoch 311, Loss: 0.04540266469120979
Epoch 1, Sub-Epoch 312, Loss: 0.042030807584524155
Epoch 1, Sub-Epoch 313, Loss: 0.04227453097701073
Epoch 1, Sub-Epoch 314, Loss: 0.03878479078412056
Epoch 1, Sub-Epoch 315, Loss: 0.03912287577986717
Epoch 1, Sub-Epoch 316, Loss: 0.03935956582427025
Epoch 1, Sub-Epoch 317, Loss: 0.03469040244817734
Epoch 1, Sub-Epoch 318, Loss: 0.03902727738022804
Epoch 1, Sub-Epoch 319, Loss: 0.04229642078280449
Epoch 1, Sub-Epoch 320, Loss: 0.04038567095994949
Epoch 1, Sub-Epoch 321, Loss: 0.0396360419690609
Epoch 1, Sub-Epoch 322, Loss: 0.03946031257510185
Epoch 1, Sub-Epoch 323, Loss: 0.036844607442617416
Epoch 1, Sub-Epoch 324, Loss: 0.03884356468915939
Epoch 1, Sub-Epoch 325, Loss: 0.037090182304382324
Epoch 1, Sub-Epoch 326, Loss: 0.0428195483982563
Epoch 1, Sub-Epoch 327, Loss: 0.039757952094078064
Epoch 1, Sub-Epoch 328, Loss: 0.034058500081300735
Epoch 1, Sub-Epoch 329, Loss: 0.04180082306265831
Epoch 1, Sub-Epoch 330, Loss: 0.03576132655143738
Epoch 1, Sub-Epoch 331, Loss: 0.03931542485952377
Epoch 1, Sub-Epoch 332, Loss: 0.043053288012742996
Epoch 1, Sub-Epoch 333, Loss: 0.047732364386320114
Epoch 1, Sub-Epoch 334, Loss: 0.049143921583890915
Epoch 1, Sub-Epoch 335, Loss: 0.04259880259633064
Epoch 1, Sub-Epoch 336, Loss: 0.043449077755212784
Epoch 1, Sub-Epoch 337, Loss: 0.038646817207336426
Epoch 1, Sub-Epoch 338, Loss: 0.040071599185466766
